transaction_id,user_id,amount,account_age_days,device_id,ip_id,card_id,merchant_id,transactions_last_hour,transactions_last_day,failed_transactions,unique_devices,unique_cards,is_fraud,fraud_scenario
TXN_009693,U_CYCLE_009,253.69,4,D_CYCLE_001,IP_CYCLE_018,C_STOLEN_POOL_01,M_146,6,24,6,3,8,1,CARD_CYCLING
TXN_007289,U_LEGIT_2140,103.05,411,D_LEGIT_1714,IP_LEGIT_1947,C_LEGIT_0144,M_124,0,2,0,1,1,0,NONE
TXN_006991,U_LEGIT_2204,176.61,642,D_LEGIT_1763,IP_LEGIT_1548,C_LEGIT_1377,M_057,0,1,0,1,1,0,NONE
TXN_005300,U_LEGIT_2093,62.17,817,D_LEGIT_1075,IP_LEGIT_0879,C_LEGIT_1907,M_070,0,5,0,1,1,0,NONE
TXN_003065,U_LEGIT_0866,19.24,73,D_LEGIT_1032,IP_LEGIT_0737,C_LEGIT_1936,M_039,0,1,0,1,1,0,NONE
TXN_004334,U_LEGIT_0074,173.4,330,D_LEGIT_0884,IP_SHARED_BENIGN_09,C_LEGIT_0530,M_064,0,1,0,1,2,0,NONE
TXN_004920,U_LEGIT_1907,125.32,205,D_LEGIT_1925,IP_LEGIT_1916,C_LEGIT_0619,M_004,0,3,0,1,1,0,NONE
TXN_003958,U_LEGIT_1176,9.03,323,D_LEGIT_1445,IP_LEGIT_0792,C_LEGIT_1329,M_055,0,4,0,1,1,0,NONE
TXN_006817,U_LEGIT_0900,244.74,531,D_SHARED_BENIGN_07,IP_LEGIT_1045,C_LEGIT_1990,M_058,0,1,0,1,1,0,NONE
TXN_003452,U_LEGIT_1898,177.11,1127,D_LEGIT_1267,IP_SHARED_BENIGN_06,C_LEGIT_0076,M_096,1,2,0,1,1,0,NONE
TXN_009240,U_INDIV_0061,1281.81,5,D_INDIV_0389,IP_INDIV_0041,C_INDIV_0068,M_116,16,44,5,6,8,1,INDIVIDUAL_FRAUD
TXN_008705,U_LEGIT_0499,72.19,538,D_LEGIT_0727,IP_LEGIT_0631,C_LEGIT_1583,M_135,0,2,0,1,1,0,NONE
TXN_005654,U_LEGIT_1191,84.76,343,D_LEGIT_1894,IP_LEGIT_1342,C_LEGIT_1599,M_141,0,4,0,1,2,0,NONE
