transaction_id,user_id,amount,account_age_days,device_id,ip_id,card_id,merchant_id,transactions_last_hour,transactions_last_day,failed_transactions,unique_devices,unique_cards,is_fraud,fraud_scenario
TXN_V2_007347,U_LEGIT_2061,115.36,716,D_LEGIT_0378,IP_LEGIT_0533,C_LEGIT_0777,M_077,1,4,0,3,3,0,NONE
TXN_V2_002073,U_LEGIT_1552,151.4,304,D_LEGIT_1195,IP_LEGIT_1735,C_LEGIT_2276,M_145,0,1,0,1,1,0,NONE
TXN_V2_006785,U_LEGIT_1870,191.8,70,D_SHARED_BENIGN_02,IP_LEGIT_0365,C_LEGIT_1532,M_088,0,3,0,3,1,0,NONE
TXN_V2_003324,U_LEGIT_2055,226.69,542,D_LEGIT_0024,IP_LEGIT_0653,C_LEGIT_1216,M_080,0,1,0,1,2,0,NONE
TXN_V2_005053,U_LEGIT_0729,214.74,706,D_SHARED_BENIGN_13,IP_LEGIT_1321,C_LEGIT_2852,M_071,0,4,0,1,2,0,NONE
TXN_V2_005166,U_LEGIT_0428,32.76,655,D_LEGIT_0163,IP_LEGIT_1643,C_LEGIT_2393,M_118,0,3,0,1,1,0,NONE
TXN_V2_001326,U_LEGIT_1756,179.54,3,D_LEGIT_0022,IP_LEGIT_1828,C_LEGIT_1546,M_053,0,4,0,1,2,0,NONE
TXN_V2_004389,U_LEGIT_1439,144.6,17,D_LEGIT_1410,IP_LEGIT_1800,C_LEGIT_1379,M_041,0,4,0,1,1,0,NONE
TXN_V2_006121,U_LEGIT_1492,216.37,683,D_LEGIT_1156,IP_SHARED_BENIGN_02,C_LEGIT_1959,M_071,0,3,0,1,2,0,NONE
TXN_V2_000030,U_LEGIT_2245,193.8,890,D_LEGIT_0326,IP_LEGIT_0973,C_LEGIT_1844,M_067,0,3,0,2,1,0,NONE
TXN_V2_006695,U_LEGIT_2056,502.13,134,D_LEGIT_1820,IP_LEGIT_1086,C_LEGIT_1732,M_044,0,1,0,2,2,0,NONE
TXN_V2_002253,U_LEGIT_1311,50.95,269,D_SHARED_BENIGN_04,IP_LEGIT_1792,C_LEGIT_1051,M_044,5,6,0,2,1,0,NONE
TXN_V2_008332,U_LEGIT_0273,233.55,739,D_SHARED_BENIGN_13,IP_LEGIT_1706,C_LEGIT_0140,M_025,0,4,0,1,1,0,NONE
TXN_V2_002356,U_LEGIT_1277,113.95,112,D_LEGIT_1056,IP_LEGIT_0582,C_LEGIT_2735,M_128,0,2,0,1,1,0,NONE
TXN_V2_003887,U_LEGIT_0455,232.54,8,D_LEGIT_0282,IP_SHARED_BENIGN_04,C_LEGIT_1508,M_132,0,3,3,3,1,0,NONE
TXN_V2_001580,U_LEGIT_1429,890.72,897,D_LEGIT_1772,IP_LEGIT_0621,C_LEGIT_1880,M_066,0,1,2,1,1,0,NONE
TXN_V2_005116,U_LEGIT_0736,50.73,243,D_SHARED_BENIGN_13,IP_LEGIT_1835,C_LEGIT_1054,M_075,1,3,0,1,3,0,NONE
TXN_V2_003725,U_LEGIT_1722,127.98,227,D_LEGIT_0769,IP_LEGIT_1883,C_LEGIT_0068,M_039,5,8,0,1,1,0,NONE
TXN_V2_006129,U_LEGIT_0672,880.61,326,D_LEGIT_1488,IP_LEGIT_0170,C_LEGIT_0272,M_026,5,5,0,3,1,0,NONE
TXN_V2_003557,U_LEGIT_0970,1645.73,529,D_LEGIT_0172,IP_LEGIT_0794,C_LEGIT_1495,M_070,0,3,0,1,2,0,NONE
TXN_V2_008967,U_LEGIT_1131,1131.91,285,D_LEGIT_0879,IP_LEGIT_1955,C_LEGIT_0951,M_068,0,4,0,2,2,0,NONE
TXN_V2_005872,U_LEGIT_2241,143.44,944,D_LEGIT_0435,IP_LEGIT_1721,C_LEGIT_2769,M_010,0,2,0,2,2,0,NONE
TXN_V2_008577,U_LEGIT_0185,1624.7,60,D_LEGIT_0011,IP_LEGIT_1081,C_LEGIT_1568,M_034,0,1,0,1,3,0,NONE
TXN_V2_006668,U_LEGIT_1623,222.04,512,D_SHARED_BENIGN_03,IP_LEGIT_1812,C_LEGIT_1210,M_150,0,3,0,1,1,0,NONE
TXN_V2_008203,U_LEGIT_1909,77.33,301,D_SHARED_BENIGN_13,IP_SHARED_BENIGN_11,C_LEGIT_1550,M_087,0,2,0,2,1,0,NONE
TXN_V2_003135,U_LEGIT_0033,946.76,571,D_SHARED_BENIGN_05,IP_LEGIT_0236,C_LEGIT_0324,M_092,0,2,0,1,1,0,NONE
TXN_V2_005645,U_LEGIT_0888,52.55,2,D_LEGIT_1733,IP_LEGIT_1607,C_LEGIT_0429,M_025,0,1,0,1,2,0,NONE
TXN_V2_004584,U_LEGIT_0676,209.61,6,D_LEGIT_1419,IP_LEGIT_0192,C_LEGIT_0455,M_133,0,3,0,1,1,0,NONE
TXN_V2_002401,U_LEGIT_2018,86.76,729,D_LEGIT_0327,IP_SHARED_BENIGN_05,C_LEGIT_1708,M_023,1,4,0,1,1,0,NONE
TXN_V2_007384,U_LEGIT_0535,205.29,942,D_LEGIT_1818,IP_LEGIT_0427,C_LEGIT_2162,M_040,0,4,0,1,1,0,NONE
TXN_V2_006742,U_LEGIT_0881,1914.54,19,D_LEGIT_0414,IP_LEGIT_0992,C_LEGIT_0252,M_001,0,1,0,1,2,0,NONE
TXN_V2_006302,U_LEGIT_2475,42.86,197,D_LEGIT_0652,IP_LEGIT_1749,C_LEGIT_0216,M_067,0,2,0,3,1,0,NONE
TXN_V2_004882,U_LEGIT_1524,134.97,944,D_LEGIT_1340,IP_SHARED_BENIGN_07,C_LEGIT_1874,M_002,1,1,0,3,1,0,NONE
TXN_V2_004077,U_LEGIT_0815,431.64,873,D_LEGIT_1552,IP_LEGIT_1667,C_LEGIT_1702,M_090,0,3,0,1,2,0,NONE
TXN_V2_005233,U_LEGIT_2101,137.61,46,D_LEGIT_0932,IP_LEGIT_0549,C_LEGIT_0504,M_033,1,2,0,2,1,0,NONE
TXN_V2_003833,U_LEGIT_1743,81.74,404,D_LEGIT_0048,IP_LEGIT_1141,C_LEGIT_1506,M_038,5,9,0,1,2,0,NONE
TXN_V2_000504,U_LEGIT_1336,201.79,368,D_LEGIT_1163,IP_LEGIT_1889,C_LEGIT_0570,M_040,0,4,0,1,3,0,NONE
TXN_V2_005014,U_LEGIT_1362,26.51,839,D_LEGIT_0889,IP_LEGIT_1584,C_LEGIT_0528,M_120,0,4,0,2,3,0,NONE
TXN_V2_000130,U_LEGIT_1897,234.98,188,D_LEGIT_1116,IP_LEGIT_0777,C_LEGIT_0941,M_064,0,4,0,1,1,0,NONE
TXN_V2_001792,U_LEGIT_0424,881.57,703,D_SHARED_BENIGN_11,IP_SHARED_BENIGN_06,C_LEGIT_1189,M_087,0,1,0,1,3,0,NONE
