transaction_id,timestamp,user_id,amount,account_age_days,device_id,ip_id,card_id,merchant_id,transactions_last_hour,transactions_last_day,failed_transactions,unique_devices,unique_cards,is_fraud,fraud_scenario
TXN_V3_000570,2026-09-05T07:11:54Z,U_HOSTEL_025,48.28,124,D_STUDENT_005,IP_HOSTEL_WIFI_02,C_STUDENT_034,M_033,0,3,0,1,1,0,HOSTEL_NETWORK
TXN_V3_005574,2026-09-05T01:26:11Z,U_REG_1099,106.05,403,D_REG_0838,IP_REG_0806,C_REG_0167,M_055,2,2,0,1,1,0,NONE
TXN_V3_006609,2026-09-03T14:15:35Z,U_REG_0238,163.22,345,D_REG_0331,IP_REG_0224,C_REG_1303,M_123,0,3,0,1,1,0,NONE
TXN_V3_000818,2026-09-04T15:28:47Z,U_HOSTEL_028,59.65,198,D_STUDENT_018,IP_HOSTEL_WIFI_02,C_STUDENT_010,M_047,1,1,0,2,1,0,HOSTEL_NETWORK
TXN_V3_009104,2026-09-03T22:58:35Z,U_INDIV_V3_052,1702.92,10,D_INDIV_V3_152,IP_INDIV_V3_064,C_INDIV_V3_143,M_084,4,21,3,5,3,1,INDIVIDUAL_FRAUD
TXN_V3_004987,2026-09-03T19:17:05Z,U_REG_0586,185.05,565,D_REG_1024,IP_REG_0618,C_REG_0268,M_052,0,5,1,1,1,0,NONE
TXN_V3_008368,2026-09-02T09:30:34Z,U_REG_0376,11.15,308,D_REG_0795,IP_REG_1238,C_REG_0714,M_109,2,3,1,1,1,0,NONE
TXN_V3_004116,2026-09-03T17:55:39Z,U_REG_0216,30.86,79,D_REG_0095,IP_REG_0724,C_REG_0206,M_077,2,5,0,1,1,0,NONE
TXN_V3_009355,2026-09-03T19:31:38Z,U_INDIV_V3_134,2125.85,15,D_INDIV_V3_030,IP_INDIV_V3_005,C_INDIV_V3_178,M_018,4,17,4,5,2,1,INDIVIDUAL_FRAUD
TXN_V3_008749,2026-09-05T21:00:49Z,U_REG_1865,35.08,715,D_REG_0160,IP_REG_0675,C_REG_0469,M_062,0,2,1,1,1,0,NONE
TXN_V3_008261,2026-09-01T13:51:16Z,U_REG_0262,194.19,624,D_REG_1467,IP_REG_0772,C_REG_1932,M_031,0,4,0,1,1,0,NONE
TXN_V3_002298,2026-09-04T03:16:31Z,U_BIZ_CLIENT_030,4582.99,334,D_BIZ_039,IP_BIZ_009,C_BIZ_001,M_SUPPLIER_01,0,8,0,1,1,0,LEGITIMATE_BUSINESS_NETWORK
TXN_V3_003573,2026-09-03T00:57:52Z,U_REG_0171,80.01,842,D_REG_0829,IP_REG_0583,C_REG_0232,M_090,0,3,0,1,1,0,NONE
TXN_V3_006744,2026-09-01T08:15:53Z,U_REG_1659,39.73,169,D_REG_0783,IP_REG_0562,C_REG_0202,M_096,0,3,0,1,1,0,NONE
TXN_V3_005362,2026-09-01T21:58:11Z,U_REG_1817,31.99,716,D_REG_0602,IP_REG_1048,C_REG_0951,M_068,0,5,0,1,1,0,NONE
TXN_V3_002218,2026-09-01T13:12:30Z,U_BIZ_CLIENT_007,2633.77,686,D_BIZ_005,IP_BIZ_026,C_BIZ_029,M_SUPPLIER_05,2,2,0,1,1,0,LEGITIMATE_BUSINESS_NETWORK
TXN_V3_007644,2026-09-01T14:46:15Z,U_REG_1024,29.17,725,D_REG_0496,IP_REG_1158,C_REG_1741,M_124,0,1,0,1,1,0,NONE
TXN_V3_004634,2026-09-03T07:05:02Z,U_REG_1047,31.99,254,D_REG_0619,IP_REG_0757,C_REG_0811,M_114,0,1,1,1,1,0,NONE
TXN_V3_003634,2026-09-02T06:58:43Z,U_REG_0386,46.98,716,D_REG_0240,IP_PUBLIC_CAFE_01,C_REG_0221,M_148,0,3,0,1,1,0,NONE
TXN_V3_004579,2026-09-02T05:28:16Z,U_REG_0738,148.13,650,D_REG_0658,IP_REG_0125,C_REG_1573,M_109,0,2,0,1,1,0,NONE
