transaction_id,timestamp,user_id,amount,account_age_days,device_id,ip_id,card_id,merchant_id,transactions_last_hour,transactions_last_day,failed_transactions,unique_devices,unique_cards,is_fraud,fraud_scenario
TXN_V5_508439,2026-09-18T07:38:48Z,U_841349,334.29,186,DEV_191349,IP_581349,CARD_721349,MERCH_380065,0,5,1,1,1,0,NONE
TXN_V5_500359,2026-09-17T07:22:38Z,U_840075,368.69,544,DEV_190075,IP_580003,CARD_720075,MERCH_380092,0,4,1,1,1,0,OFFICE_NETWORK
TXN_V5_502089,2026-09-20T06:35:36Z,U_840202,69.49,316,DEV_190202,IP_580005,CARD_720202,MERCH_380036,0,3,0,1,1,0,PUBLIC_WIFI_NETWORK
TXN_V5_502721,2026-09-19T13:24:04Z,U_840311,3973.02,278,DEV_190311,IP_580311,CARD_720311,MERCH_380009,2,2,0,1,1,0,LEGITIMATE_BUSINESS_NETWORK
TXN_V5_502756,2026-09-19T20:53:24Z,U_840317,1962.82,292,DEV_190317,IP_580317,CARD_720317,MERCH_380005,0,7,0,1,1,0,LEGITIMATE_BUSINESS_NETWORK
TXN_V5_509146,2026-09-17T05:22:52Z,U_845019,873.91,176,DEV_195019,IP_585019,CARD_725019,MERCH_380134,8,24,2,2,4,1,INDIVIDUAL_FRAUD
TXN_V5_506566,2026-09-19T18:42:19Z,U_841867,617.68,728,DEV_191867,IP_581867,CARD_721867,MERCH_380046,0,1,0,1,1,0,NONE
TXN_V5_501051,2026-09-16T03:01:45Z,U_840056,150.79,530,DEV_190056,IP_580003,CARD_720056,MERCH_380067,1,3,0,1,1,0,OFFICE_NETWORK
TXN_V5_502433,2026-09-18T09:01:32Z,U_840323,1574.15,767,DEV_190323,IP_580323,CARD_720323,MERCH_380007,1,6,0,1,1,0,LEGITIMATE_BUSINESS_NETWORK
TXN_V5_509277,2026-09-17T16:17:16Z,U_845043,78.14,12,DEV_195043,IP_585043,CARD_725043,MERCH_380018,5,8,0,3,2,1,INDIVIDUAL_FRAUD
TXN_V5_507587,2026-09-18T06:39:21Z,U_842813,586.08,161,DEV_192813,IP_582813,CARD_722813,MERCH_380070,0,5,0,1,1,0,NONE
TXN_V5_500465,2026-09-16T16:05:41Z,U_840080,155.71,307,DEV_190080,IP_580003,CARD_720080,MERCH_380105,1,2,0,1,1,0,OFFICE_NETWORK
TXN_V5_504126,2026-09-18T01:54:28Z,U_841337,285.29,317,DEV_191337,IP_581337,CARD_721337,MERCH_380016,3,6,0,1,1,0,NONE
TXN_V5_509340,2026-09-19T06:36:16Z,U_845079,1703.22,166,DEV_195079,IP_585079,CARD_725079,MERCH_380081,7,23,1,4,4,1,INDIVIDUAL_FRAUD
TXN_V5_507866,2026-09-16T13:48:20Z,U_841056,491.04,753,DEV_191056,IP_581056,CARD_721056,MERCH_380030,0,6,0,1,1,0,NONE
TXN_V5_503638,2026-09-17T04:20:17Z,U_841958,313.8,120,DEV_191958,IP_581958,CARD_721958,MERCH_380055,3,3,1,1,1,0,NONE
TXN_V5_508543,2026-09-17T14:43:06Z,U_842821,510.51,562,DEV_192821,IP_582821,CARD_722821,MERCH_380009,1,6,1,1,1,0,NONE
TXN_V5_506962,2026-09-17T16:29:29Z,U_842489,244.45,625,DEV_192489,IP_582489,CARD_722489,MERCH_380145,0,3,1,1,1,0,NONE
TXN_V5_504865,2026-09-17T01:51:02Z,U_841718,347.62,533,DEV_191718,IP_581718,CARD_721718,MERCH_380083,0,6,1,1,1,0,NONE
TXN_V5_505119,2026-09-16T02:10:41Z,U_841068,115.88,189,DEV_191068,IP_581068,CARD_721068,MERCH_380049,0,2,0,1,1,0,NONE
TXN_V5_502333,2026-09-17T08:39:54Z,U_840324,674.49,1034,DEV_190324,IP_580324,CARD_720324,MERCH_380007,1,6,0,1,1,0,LEGITIMATE_BUSINESS_NETWORK
TXN_V5_505414,2026-09-18T13:39:09Z,U_841859,421.0,699,DEV_191859,IP_581859,CARD_721859,MERCH_380039,0,4,1,1,1,0,NONE
TXN_V5_509688,2026-09-19T15:59:51Z,U_846108,192.92,90,DEV_196104,IP_586114,CARD_726104,MERCH_380148,5,7,1,3,4,1,CARD_CYCLING
TXN_V5_509693,2026-09-15T19:20:49Z,U_846102,103.44,32,DEV_196103,IP_586111,CARD_726101,MERCH_380019,5,15,0,3,4,1,CARD_CYCLING
TXN_V5_509061,2026-09-16T01:08:02Z,U_845065,784.9,1,DEV_195065,IP_585065,CARD_725065,MERCH_380009,8,16,0,3,2,1,INDIVIDUAL_FRAUD
TXN_V5_504030,2026-09-15T17:45:13Z,U_842272,124.33,91,DEV_192272,IP_582272,CARD_722272,MERCH_380135,0,6,0,1,1,0,NONE
TXN_V5_500734,2026-09-18T06:00:24Z,U_840033,304.96,126,DEV_190033,IP_580003,CARD_720033,MERCH_380116,2,3,0,1,1,0,OFFICE_NETWORK
TXN_V5_505249,2026-09-19T23:18:47Z,U_842470,95.15,451,DEV_192470,IP_582470,CARD_722470,MERCH_380118,3,3,0,1,1,0,NONE
TXN_V5_509201,2026-09-15T15:04:50Z,U_845048,1587.5,9,DEV_195048,IP_585048,CARD_725048,MERCH_380011,7,23,1,4,4,1,INDIVIDUAL_FRAUD
TXN_V5_503683,2026-09-16T07:50:43Z,U_841188,371.44,6,DEV_191188,IP_581188,CARD_721188,MERCH_380108,0,4,1,1,1,0,NONE
TXN_V5_500718,2026-09-20T05:44:16Z,U_840048,146.88,481,DEV_190048,IP_580003,CARD_720048,MERCH_380047,1,2,1,1,1,0,OFFICE_NETWORK
TXN_V5_502028,2026-09-16T08:55:39Z,U_840249,34.1,372,DEV_190249,IP_580005,CARD_720249,MERCH_380091,1,4,0,1,1,0,PUBLIC_WIFI_NETWORK
TXN_V5_500720,2026-09-17T17:51:09Z,U_840085,162.66,790,DEV_190085,IP_580003,CARD_720085,MERCH_380036,3,4,0,1,1,0,OFFICE_NETWORK
TXN_V5_508251,2026-09-18T05:16:24Z,U_841794,191.18,879,DEV_191794,IP_581794,CARD_721794,MERCH_380085,3,5,0,1,1,0,NONE
TXN_V5_500548,2026-09-18T07:16:55Z,U_840021,420.98,723,DEV_190021,IP_580003,CARD_720021,MERCH_380062,1,4,0,1,1,0,OFFICE_NETWORK
TXN_V5_501770,2026-09-19T21:42:31Z,U_840241,149.54,128,DEV_190241,IP_580005,CARD_720241,MERCH_380147,0,3,0,1,1,0,PUBLIC_WIFI_NETWORK
TXN_V5_502441,2026-09-17T18:54:15Z,U_840302,3536.05,340,DEV_190302,IP_580302,CARD_720302,MERCH_380003,0,2,0,1,1,0,LEGITIMATE_BUSINESS_NETWORK
TXN_V5_508472,2026-09-20T02:21:34Z,U_841053,1299.09,13,DEV_191053,IP_581053,CARD_721053,MERCH_380085,1,5,0,1,1,0,NONE
TXN_V5_508184,2026-09-15T14:20:16Z,U_842615,170.89,424,DEV_192615,IP_582615,CARD_722615,MERCH_380013,0,1,0,1,1,0,NONE
TXN_V5_509321,2026-09-18T04:16:30Z,U_845053,1310.75,116,DEV_195053,IP_585053,CARD_725053,MERCH_380068,6,14,1,2,4,1,INDIVIDUAL_FRAUD
TXN_V5_504896,2026-09-19T21:05:11Z,U_842921,354.68,577,DEV_192921,IP_582921,CARD_722921,MERCH_380114,3,2,0,1,1,0,NONE
